patente_principal,title,patente_citada,code,country
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2510/00,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N5/0672,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,A61K2035/124,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,G01N2333/70567,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,A61K2039/515,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,A61K35/545,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2500/38,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N5/0647,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/26,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,A61K2035/124,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N5/0647,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2510/00,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/23,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2503/02,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N5/0672,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N5/0606,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/145,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/125,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/23,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/385,WIPO (PCT)
WO-03078567-B1,Methods of inducing differentiation in ex vivo expanded stem cells,US-8846393-B2,C12N2501/26,WIPO (PCT)
GB-8615099-D0,Remote power transmission equipment,CN-115459594-A,H04B10/807,United Kingdom
GB-8615099-D0,Remote power transmission equipment,CN-115459594-A,H02J50/90,United Kingdom
GB-8615099-D0,Remote power transmission equipment,CN-115459594-A,H02J50/30,United Kingdom
GB-8615099-D0,Remote power transmission equipment,CN-115459594-B,H04B10/807,United Kingdom
GB-8615099-D0,Remote power transmission equipment,CN-115459594-B,H02J50/90,United Kingdom
GB-8615099-D0,Remote power transmission equipment,CN-115459594-B,H02J50/30,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W72/542,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W72/542,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W72/542,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,Y02D30/70,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,Y02D30/70,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W4/70,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W4/70,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W4/70,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W28/0236,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W52/0209,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W28/0236,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W28/0236,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W52/0245,United Kingdom
GB-201216927-D0,Communications system,CN-114966699-A,H04W52/0245,United Kingdom
GB-0700251-D0,"Gas, subsea, transmission system and submersible, suspension, flexible pipeline",CN-117231922-A,F16L1/24,United Kingdom
GB-0700251-D0,"Gas, subsea, transmission system and submersible, suspension, flexible pipeline",CN-117231922-A,F16L1/12,United Kingdom
GB-0700251-D0,"Gas, subsea, transmission system and submersible, suspension, flexible pipeline",CN-117231922-A,F16L1/14,United Kingdom
GB-0700251-D0,"Gas, subsea, transmission system and submersible, suspension, flexible pipeline",CN-117231922-A,F16L1/12,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C61/02,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2031/737,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2009/001,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C61/02,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,F16L55/1656,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2023/006,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2027/06,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2995/0049,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2023/006,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,F16L55/1656,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C63/343,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2027/06,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2009/001,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,F16L55/1654,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2067/003,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C63/343,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2995/0049,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29K2067/003,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,F16L55/1654,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C61/006,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29L2031/737,United Kingdom
GB-0112908-D0,Water supply pipe liner,CN-114607619-A,B29C61/006,United Kingdom
FR-2213161-A1,,FR-2343592-A1,B30B15/0029,France
FR-2213161-A1,,FR-2343592-A1,F16C32/0685,France
FR-2213161-A1,,FR-2343592-A1,B30B1/26,France
FR-2213161-A1,,FR-2343592-A1,F16C9/02,France
FR-2213161-A1,,FR-2343592-A1,B30B15/0029,France
FR-2213161-A1,,FR-2343592-A1,B30B15/04,France
FR-2213161-A1,,FR-2343592-A1,B30B1/26,France
FR-2213161-A1,,FR-2343592-A1,F16C32/0644,France
FR-2213161-A1,,FR-2343592-A1,F16C32/0685,France
FR-2213161-A1,,FR-2343592-A1,F16C9/02,France
FR-2213161-A1,,FR-2343592-A1,F16C9/04,France
FR-2213161-A1,,FR-2343592-A1,F16C32/0644,France
FR-2213161-A1,,FR-2343592-A1,F16C9/04,France
FR-2213161-A1,,FR-2343592-A1,B30B15/04,France
FR-2273089-A1,,FR-2352075-A1,C25C7/002,France
FR-2273089-A1,,FR-2352075-A1,C25C7/002,France
FR-2273089-A1,,FR-2450882-A1,C25C7/002,France
FR-2273089-A1,,FR-2450882-A1,C25C7/002,France
FR-2273089-A1,,EP-0108002-A1,C25C7/002,France
FR-2273089-A1,,EP-0108002-A1,C25C7/002,France
FR-2000597-A1,,DE-3346234-A1,B04C5/103,France
FR-2000597-A1,,FR-2538269-A1,B04C5/103,France
FR-2000597-A1,,EP-0090335-A3,B04C5/103,France
FR-2000597-A1,,FR-2565127-A1,B04C5/103,France
FR-2000597-A1,,WO-2008145657-A1,B04C5/103,France
FR-2000597-A1,,US-8287613-B2,B04C5/103,France
FR-2000597-A1,,EP-3795257-A1,B04C5/103,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,FR-2610777-A1,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,FR-2610777-A1,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,EP-0278870-A1,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,EP-0278870-A1,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,EP-0463693-A3,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,EP-0463693-A3,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,FR-2849792-A1,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,FR-2849792-A1,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,DE-10300818-B4,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,DE-10300818-B4,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,CN-111790808-A,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,CN-111790808-A,H05K3/005,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,CN-112077198-A,B26F1/04,France
FR-2248666-A1,Punching tool for printed circuit boards - using matrix pierced with array of holes of equal diameter,CN-112077198-A,H05K3/005,France
FR-2028858-A1,,JP-S519634-B1,H01H36/00,France
FR-2028858-A1,,JP-S519634-B1,B60C23/0425,France
FR-2028858-A1,,FR-2462696-A1,H01H36/00,France
FR-2028858-A1,,FR-2462696-A1,B60C23/0425,France
FR-2028858-A1,,FR-2579323-A1,H01H36/00,France
FR-2028858-A1,,FR-2579323-A1,B60C23/0425,France
FR-2257408-A1,,FR-2563147-A1,B29C2045/1685,France
FR-2257408-A1,,FR-2563147-A1,Y10S264/83,France
FR-2257408-A1,,FR-2563147-A1,B29C45/00,France
FR-2257408-A1,,FR-2563147-A1,B29D5/00,France
FR-2257408-A1,,FR-2563147-A1,B29C45/1642,France
FR-2257408-A1,,FR-2563147-A1,B29C44/0492,France
FR-2257408-A1,,FR-2563147-A1,Y10S425/812,France
FR-2257408-A1,,FR-2563147-A1,B29C45/1604,France
FR-2257408-A1,,FR-2563147-A1,B29D5/00,France
FR-2257408-A1,,FR-2563147-A1,B29C45/1604,France
FR-2257408-A1,,FR-2563147-A1,B29C44/0492,France
FR-2257408-A1,,FR-2563147-A1,B29C45/1642,France
FR-2257408-A1,,FR-2563147-A1,B29C45/00,France
FR-2257408-A1,,FR-2563147-A1,Y10S425/812,France
FR-2257408-A1,,FR-2563147-A1,Y10S264/83,France
FR-3052054-A1,,FR-3142353-A1,A45D40/00,France
FR-3052054-A1,,FR-3142353-A1,A61K8/20,France
FR-3052054-A1,,FR-3142353-A1,A61K2800/87,France
FR-3052054-A1,,FR-3142353-A1,A61K8/46,France
FR-3052054-A1,,FR-3142353-A1,A45D2040/0093,France
FR-3052054-A1,,FR-3142353-A1,A61K8/342,France
FR-3052054-A1,,FR-3142353-A1,A45D40/24,France
FR-3052054-A1,,FR-3142353-A1,A45D2040/0093,France
FR-3052054-A1,,FR-3142353-A1,A61K8/20,France
FR-3052054-A1,,FR-3142353-A1,A61Q5/08,France
FR-3052054-A1,,FR-3142353-A1,A45D34/00,France
FR-3052054-A1,,FR-3142353-A1,A61K2800/884,France
FR-3052054-A1,,FR-3142353-A1,A61K8/46,France
FR-3052054-A1,,FR-3142353-A1,A61K2800/884,France
FR-3052054-A1,,FR-3142353-A1,A61K8/19,France
FR-3052054-A1,,FR-3142353-A1,A61K8/29,France
FR-3052054-A1,,FR-3142353-A1,A45D34/00,France
FR-3052054-A1,,FR-3142353-A1,A61K8/29,France
FR-3052054-A1,,FR-3142353-A1,A45D40/24,France
FR-3052054-A1,,FR-3142353-A1,A61Q5/00,France
FR-3052054-A1,,FR-3142353-A1,A61Q5/08,France
FR-3052054-A1,,FR-3142353-A1,A45D40/00,France
FR-3052054-A1,,FR-3142353-A1,A61K8/19,France
FR-3052054-A1,,FR-3142353-A1,A61K8/46,France
FR-3052054-A1,,FR-3142353-A1,A61K8/19,France
FR-3052054-A1,,FR-3142353-A1,A61K8/21,France
FR-2029354-A1,,CN-110988013-A,G01N25/16,France
FR-2029354-A1,,CN-110988013-A,G01N25/16,France
FR-2103464-A1,,DE-3543479-A1,B60T13/162,France
FR-2103464-A1,,DE-3543479-A1,B60T13/162,France
FR-2103464-A1,,US-4741161-A,B60T13/162,France
FR-2103464-A1,,US-4741161-A,B60T13/162,France
FR-2150769-A1,,AT-407022-B,H05H1/38,France
FR-2081664-A1,,FR-2337940-A1,H01K1/50,France
FR-2081664-A1,,FR-2337940-A1,H01K1/50,France
FR-2081664-A1,,FR-2337940-A1,C08K5/03,France
FR-2081664-A1,,FR-2337940-A1,C08K5/03,France
FR-2081664-A1,,FR-2337940-A1,Y02B20/00,France
FR-2081664-A1,,FR-2337940-A1,Y02B20/00,France
FR-2052967-A1,,FR-2186260-A1,C07J71/0057,France
FR-2052967-A1,,FR-2186260-A1,C07J43/003,France
FR-2052967-A1,,FR-2186260-A1,C07J71/0057,France
FR-2052967-A1,,FR-2186260-A1,C07J43/003,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,B43K5/06,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,A46B11/0027,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,B43K8/03,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,A61M35/003,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,B43K5/189,France
FR-2623426-A1,Liquid applicator,FR-2753613-A1,A45D34/042,France
FR-2623426-A1,Liquid applicator,US-5827002-A,B43K5/06,France
FR-2623426-A1,Liquid applicator,US-5827002-A,A46B11/0027,France
FR-2623426-A1,Liquid applicator,US-5827002-A,B43K8/03,France
FR-2623426-A1,Liquid applicator,US-5827002-A,A61M35/003,France
FR-2623426-A1,Liquid applicator,US-5827002-A,B43K5/189,France
FR-2623426-A1,Liquid applicator,US-5827002-A,A45D34/042,France
FR-2623426-A1,Liquid applicator,US-5851079-A,B43K5/06,France
FR-2623426-A1,Liquid applicator,US-5851079-A,A46B11/0027,France
FR-2623426-A1,Liquid applicator,US-5851079-A,B43K8/03,France
FR-2623426-A1,Liquid applicator,US-5851079-A,A61M35/003,France
FR-2623426-A1,Liquid applicator,US-5851079-A,B43K5/189,France
FR-2623426-A1,Liquid applicator,US-5851079-A,A45D34/042,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,B43K5/06,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,A46B11/0027,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,B43K8/03,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,A61M35/003,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,B43K5/189,France
FR-2623426-A1,Liquid applicator,EP-1552957-A2,A45D34/042,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,B43K5/06,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,A46B11/0027,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,B43K8/03,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,A61M35/003,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,B43K5/189,France
FR-2623426-A1,Liquid applicator,EP-1552957-A3,A45D34/042,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,B43K5/06,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,A46B11/0027,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,B43K8/03,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,A61M35/003,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,B43K5/189,France
FR-2623426-A1,Liquid applicator,US-12329923-B2,A45D34/042,France
SU-1718305-A1,Method of measurement of residual capacitance of chemical current supply,RU-2439753-C2,Y02E60/10,USSR - Soviet Union
SU-1718305-A1,Method of measurement of residual capacitance of chemical current supply,RU-2538096-C2,Y02E60/10,USSR - Soviet Union
SU-1718305-A1,Method of measurement of residual capacitance of chemical current supply,RU-2662045-C1,Y02E60/10,USSR - Soviet Union
FR-2173372-A6,,WO-8102275-A1,E01B25/00,France
FR-2173372-A6,,WO-8102275-A1,E01B25/14,France
FR-2173372-A6,,WO-8102275-A1,B61B9/00,France
FR-2173372-A6,,FR-2493366-A1,E01B25/00,France
FR-2173372-A6,,FR-2493366-A1,E01B25/14,France
FR-2173372-A6,,FR-2493366-A1,B61B9/00,France
FR-2173372-A6,,US-4512259-A,E01B25/00,France
FR-2173372-A6,,US-4512259-A,E01B25/14,France
FR-2173372-A6,,US-4512259-A,B61B9/00,France
FR-2173372-A6,,IT-MI20122262-A1,E01B25/00,France
FR-2173372-A6,,IT-MI20122262-A1,E01B25/14,France
FR-2173372-A6,,IT-MI20122262-A1,B61B9/00,France
FR-2173372-A6,,EP-2749469-A1,E01B25/00,France
FR-2173372-A6,,EP-2749469-A1,E01B25/14,France
FR-2173372-A6,,EP-2749469-A1,B61B9/00,France
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6911682-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6919592-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,C01B32/162,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-6979590-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,D01F9/127,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,Y10S428/914,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,B82Y30/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,H01J2201/30469,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,B82Y40/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,B82Y10/00,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,Y10T428/24802,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,C01B2202/08,WIPO (PCT)
WO-0073204-A9,Substrate-supported aligned carbon nanotube films,US-7120047-B2,C01B32/162,WIPO (PCT)
