publication_number,citation_publication_number
US-2025249306-A1,CN-109331423-B
US-2025253754-A1,US-10770973-B1
US-2025253754-A1,US-11515791-B2
US-2025253754-A1,US-2025149983-A1
US-2025253754-A1,US-12451799-B2
US-2025259134-A1,US-2009024423-A1
US-2025259134-A1,JP-2009279957-A
US-2025259134-A1,CN-102519563-A
US-2025259134-A1,CA-3162263-A1
US-2025259134-A1,CN-114111988-A
US-2025259134-A1,CN-111740953-B
US-2025259134-A1,US-2025242784-A1
US-2025262033-A1,TW-I805830-B
US-2025262033-A1,US-12440315-B2
US-2025268723-A1,US-5676702-A
US-2025268723-A1,US-6899735-B2
US-2025268723-A1,US-2007123990-A1
US-2025268723-A1,US-2007191958-A1
US-2025268723-A1,US-2008161924-A1
US-2025268723-A1,US-2009076614-A1
US-2025268723-A1,US-2009192617-A1
US-2025268723-A1,US-2011093075-A1
US-2025268723-A1,US-8092533-B2
US-2025268723-A1,US-8252059-B2
US-2025268723-A1,US-8313529-B2
US-2025268723-A1,US-11406509-B1
US-2025268723-A1,US-11497614-B2
US-2025269831-A1,US-6345225-B1
US-2025269831-A1,US-2016009263-A1
US-2025269831-A1,US-11708058-B2
US-2025269831-A1,US-2023365111-A1
US-2025269831-A1,US-12143045-B2
US-2025270083-A1,US-2001030215-A1
US-2025270083-A1,US-2008073396-A1
US-2025270083-A1,US-2012175474-A1
US-2025270083-A1,US-2016050881-A1
US-2025270083-A1,US-2019004401-A1
US-2025270083-A1,US-2019055976-A1
US-2025270083-A1,US-2020390225-A1
US-2025270083-A1,US-2021270416-A1
US-2025270083-A1,US-11516328-B2
US-2025270083-A1,US-11752596-B2
US-2025270083-A1,US-2024151348-A1
US-2025270083-A1,US-12047525-B2
US-2025270083-A1,US-2025073608-A1
US-2025278413-A1,US-2003112662-A1
US-2025278413-A1,US-2009271433-A1
US-2025278413-A1,US-2015254325-A1
US-2025278413-A1,US-2016070780-A1
US-2025278413-A1,US-2017097980-A1
US-2025278413-A1,US-2019065519-A1
US-2025278413-A1,US-2021397610-A1
US-2025278413-A1,US-2024220488-A1
US-2025278413-A1,US-2025037423-A1
US-2025278413-A1,US-2025173866-A1
US-2025278413-A1,
US-2025280772-A1,US-5839659-A
US-2025280772-A1,US-2011308153-A1
US-2025287523-A1,US-2004075983-A1
US-2025287523-A1,US-2004256334-A1
US-2025287523-A1,US-2008253076-A1
US-2025287523-A1,US-2017083057-A1
US-2025287523-A1,US-10372178-B2
US-2025287523-A1,US-10729037-B1
US-2025287523-A1,US-2020315067-A1
US-2025287523-A1,US-11641726-B1
US-2025287523-A1,US-12495514-B2
US-2025293931-A1,US-2009012997-A1
US-2025293931-A1,US-2019104024-A1
US-2025293931-A1,US-2019356697-A1
US-2025293931-A1,US-2020059491-A1
US-2025293931-A1,US-2023036680-A1
US-2025293931-A1,US-2024013221-A1
US-2025293931-A1,US-2024323096-A1
US-2025296236-A1,US-2002083579-A1
US-2025296236-A1,US-2014115857-A1
US-2025296236-A1,US-2020154637-A1
US-2025296236-A1,US-2022125452-A1
US-2025296236-A1,US-2022314466-A1
US-2025296236-A1,US-2023108220-A1
US-2025296236-A1,US-11638618-B2
US-2025296236-A1,US-2023266681-A1
US-2025296236-A1,US-11951618-B2
US-2025296236-A1,US-2024235339-A1
US-2025296236-A1,US-12075992-B1
US-2025296236-A1,US-2025021010-A1
US-2025296236-A1,US-12242180-B1
US-2025296236-A1,US-2025083313-A1
US-2025296236-A1,US-12318165-B2
US-2025296236-A1,
US-2025299597-A1,US-2008254426-A1
US-2025299597-A1,US-2008268418-A1
US-2025299597-A1,US-2014248597-A1
US-2025299597-A1,US-2017206797-A1
US-2025299597-A1,US-2019286439-A1
US-2025302726-A1,US-2004161395-A1
US-2025304018-A1,US-151626-A
US-2025304018-A1,US-3412617-A
US-2025304018-A1,US-3861487-A
US-2025304018-A1,US-4813509-A
US-2025304018-A1,US-5880532-A
US-2025304018-A1,US-6120411-A
US-2025304018-A1,US-6936994-B1
US-2025304018-A1,US-2013158828-A1
US-2025304018-A1,US-2014152019-A1
US-2025304018-A1,CZ-20136-A3
US-2025304018-A1,CN-106347142-A
US-2025304018-A1,CN-107054105-A
US-2025304018-A1,US-11584337-B2
US-2025304018-A1,CN-108799437-B
US-2025308114-A1,US-2018321826-A1
US-2025308114-A1,US-2019098099-A1
US-2025308114-A1,US-2021382610-A1
US-2025308114-A1,US-2021399911-A1
US-2025308114-A1,US-2022168644-A1
US-2025308114-A1,US-2024428470-A1
US-2025320750-A1,US-1829815-A
US-2025320750-A1,US-2420083-A
US-2025320750-A1,US-2662386-A
US-2025320750-A1,US-2687319-A
US-2025320750-A1,US-4118055-A
US-2025320750-A1,US-4711477-A
US-2025320750-A1,US-4746154-A
US-2025320750-A1,US-5570912-A
US-2025320750-A1,US-6257630-B1
US-2025320750-A1,US-6293597-B1
US-2025320750-A1,US-6334635-B1
US-2025320750-A1,KR-200267030-Y1
US-2025320750-A1,US-6536248-B1
US-2025320750-A1,US-6536816-B1
US-2025320750-A1,US-2003173785-A1
US-2025320750-A1,US-6688660-B2
US-2025320750-A1,KR-100445145-B1
US-2025320750-A1,US-7641243-B2
US-2025320750-A1,US-10513872-B2
US-2025320750-A1,US-11585115-B2
US-2025331767-A1,JP-2021012102-A
US-2025331767-A1,
US-2025333893-A1,US-2015240406-A1
US-2025333893-A1,US-2018002857-A1
US-2025335169-A1,US-2005262192-A1
US-2025335169-A1,US-2009138891-A1
US-2025335169-A1,US-2014279932-A1
US-2025335169-A1,US-2021132935-A1
US-2025335169-A1,US-11023422-B2
US-2025335169-A1,US-12572365-B2
US-2025335169-A1,
US-2025357547-A1,US-2022109146-A1
US-2025364029-A1,US-2021142838-A1
US-2025367409-A1,US-4909244-A
US-2025367409-A1,US-4917112-A
US-2025367409-A1,US-5000741-A
US-2025367409-A1,US-5308339-A
US-2025367409-A1,US-4909244-B1
US-2025367409-A1,US-2011295173-A1
US-2025367409-A1,US-8710289-B2
US-2025367409-A1,US-2020246192-A1
US-2025367409-A1,US-2022184294-A1
US-2025368214-A1,US-2017043781-A1
US-2025368214-A1,US-2019367050-A1
US-2025368214-A1,US-2020151478-A1
US-2025368214-A1,US-2025022291-A1
US-2025378318-A1,US-5739049-A
US-2025378318-A1,US-2002146871-A1
US-2025378318-A1,US-2011041980-A1
US-2025378318-A1,US-2011160065-A1
US-2025378318-A1,US-2015041751-A1
US-2025378318-A1,US-2017018654-A1
US-2025378318-A1,US-2017200495-A1
US-2025378318-A1,US-2017206957-A1
US-2025378318-A1,US-2017271591-A1
US-2025378318-A1,US-2019229260-A1
US-2025382775-A1,US-2012327261-A1
US-2025382775-A1,US-2013222573-A1
US-2025382775-A1,US-2016176345-A1
US-2025382775-A1,JP-6330341-B2
US-2025382775-A1,US-2022064909-A1
US-2025382775-A1,US-2024026654-A1
US-2025382775-A1,US-2024265573-A1
US-2025382775-A1,US-2024395145-A1
US-2025382775-A1,US-12162352-B2
US-2025382775-A1,US-2025001939-A1
US-2025383467-A1,US-2005253711-A1
US-2025383467-A1,US-2006006874-A1
US-2025383467-A1,US-7157913-B2
US-2025383467-A1,US-8358809-B2
US-2025383467-A1,US-2013057249-A1
US-2025384021-A1,US-7343551-B1
US-2025384021-A1,US-2022141263-A1
US-2025384021-A1,US-2023186151-A1
US-2025384021-A1,US-2025077870-A1
US-2025384021-A1,US-2025265249-A1
US-2025384021-A1,US-2025291780-A1
US-2025384021-A1,US-2025298798-A1
US-2025384021-A1,
US-2025387191-A1,US-2011313288-A1
US-2026016080-A1,US-9587730-B2
US-2026016080-A1,WO-2021137283-A1
US-2026016080-A1,US-11821513-B2
US-2026016080-A1,
US-2026022688-A1,US-2762211-A
US-2026022688-A1,US-3479471-A
US-2026022688-A1,US-3865669-A
US-2026022688-A1,US-4511168-A
US-2026022688-A1,US-2007114797-A1
US-2026022688-A1,US-2009038819-A1
US-2026022688-A1,DE-102007052525-A1
US-2026022688-A1,KR-20090132008-A
US-2026022688-A1,WO-2010118914-A2
US-2026022688-A1,US-2012321473-A1
US-2026022688-A1,US-2014294568-A1
US-2026022688-A1,US-9019682-B2
US-2026022688-A1,US-9709039-B2
US-2026022688-A1,US-10480490-B2
US-2026022688-A1,CN-110645154-A
US-2026022688-A1,CN-110685863-A
US-2026022688-A1,
US-2026028813-A1,US-5702593-A
US-2026028813-A1,US-2007256966-A1
US-2026028813-A1,US-7776217-B2
US-2026028813-A1,US-8679327-B2
US-2026028813-A1,US-9688544-B2
US-2026028813-A1,US-2022064024-A1
US-2026028813-A1,CN-216639195-U
US-2026038678-A1,US-10599984-B1
US-2026038678-A1,WO-2022106251-A1
US-2026038678-A1,WO-2022122873-A1
US-2026038678-A1,US-2022366320-A1
US-2026038678-A1,US-2022417306-A1
US-2026038678-A1,US-2025148297-A1
US-2026041204-A1,US-3142-A
US-2026041204-A1,US-37880-A
US-2026041204-A1,US-86049-A
US-2026041204-A1,US-113152-A
US-2026041204-A1,US-242113-A
US-2026041204-A1,US-635948-A
US-2026041204-A1,US-644161-A
US-2026041204-A1,US-694421-A
US-2026041204-A1,US-769743-A
US-2026041204-A1,US-810049-A
US-2026041204-A1,US-931063-A
US-2026041204-A1,US-1225350-A
US-2026041204-A1,US-3157013-A
US-2026041204-A1,US-3953958-A
US-2026041204-A1,US-D352805-S
US-2026041204-A1,US-6536196-B2
US-2026041204-A1,US-2003226287-A1
US-2026041204-A1,US-7454887-B2
US-2026041204-A1,US-2011225937-A1
US-2026041204-A1,US-2016120259-A1
US-2026048975-A1,US-2021238022-A1
US-2026052636-A1,US-2011266933-A1
US-2026052636-A1,US-8503184-B2
US-2026052636-A1,US-9743549-B2
US-2026052636-A1,US-2018139856-A1
US-2026052636-A1,US-2018220544-A1
US-2026052636-A1,US-10863647-B1
US-2026052636-A1,US-11197384-B1
US-2026052636-A1,US-2021385962-A1
US-2026052636-A1,US-2022418139-A1
US-2026052636-A1,US-2023225072-A1
US-2026052636-A1,US-12048113-B2
US-2026052636-A1,US-2025133676-A1
US-2026053362-A1,US-2009085133-A1
US-2026053362-A1,US-2009270948-A1
US-2026064657-A1,US-2021303584-A1
US-2026064657-A1,
US-2026072046-A1,US-2006046273-A1
US-2026072046-A1,US-2010209943-A1
US-2026072046-A1,US-9366685-B1
US-2026072046-A1,
US-2026080986-A1,WO-2009083886-A1
US-2026080986-A1,US-2011270843-A1
US-2026080986-A1,US-2020226164-A1
US-2026080986-A1,US-2020303069-A1
US-2026080986-A1,US-2025087372-A1
US-2026091903-A1,US-4880581-A
US-2026091903-A1,US-5015425-A
US-2026091903-A1,US-5759218-A
US-2026091903-A1,US-2002171179-A1
US-2026091903-A1,US-8177149-B2
US-2026091903-A1,US-2015083830-A1
US-2026091903-A1,US-2024131265-A1
US-2026091903-A1,US-12186964-B2
US-2026094565-A1,US-2015371590-A1
US-2026094565-A1,US-2023215353-A1
US-2026094565-A1,US-2025046247-A1
US-2415751-A,US-1142589-A
US-2415751-A,US-1407823-A
US-2415751-A,US-1581313-A
US-2416008-A,US-457656-A
US-2416008-A,US-951082-A
US-2416008-A,US-1414156-A
US-2416008-A,US-1420685-A
US-2416008-A,US-1689254-A
US-2416008-A,US-1972385-A
US-2416008-A,US-2207131-A
US-2416008-A,US-2241977-A
US-2416008-A,US-2335891-A
US-2416295-A,US-2055471-A
US-2416295-A,US-2208619-A
US-2416304-A,US-2050059-A
US-2416304-A,US-2061734-A
US-2416304-A,US-2262838-A
US-2416304-A,US-2265996-A
US-2416304-A,US-2266526-A
US-2416304-A,US-2303734-A
US-2416304-A,US-2323596-A
US-2418300-A,US-1640252-A
US-2418300-A,US-2055022-A
US-2418300-A,US-2347642-A
US-2420620-A,US-1249725-A
US-2420620-A,US-1655290-A
US-2420620-A,US-2221323-A
US-2420620-A,US-2229631-A
US-2420620-A,US-2387273-A
US-2421301-A,US-440699-A
US-2421301-A,US-1324657-A
US-2421301-A,US-1440729-A
US-2421301-A,US-1681649-A
US-2421301-A,US-1791149-A
US-2421301-A,US-1842966-A
US-2421301-A,US-1933591-A
US-2421301-A,US-1935208-A
US-2421301-A,US-1966897-A
US-2421301-A,US-1995726-A
US-2421301-A,US-2070447-A
US-2421301-A,US-2081993-A
US-2421301-A,GB-474918-A
US-2421301-A,US-2103356-A
US-2421301-A,US-2245577-A
US-2421887-A,US-994473-A
US-2421887-A,US-1106679-A
US-2421887-A,GB-354114-A
US-2421887-A,US-1849603-A
US-2421887-A,GB-380556-A
US-2421887-A,US-1890517-A
US-2421887-A,US-2109966-A
US-2421887-A,US-2151271-A
US-2421887-A,US-2166300-A
US-2421887-A,US-2238693-A
US-2421887-A,US-2258869-A
US-2422061-A,AT-33640-B
US-2422061-A,DE-397790-C
US-2422061-A,US-1557524-A
US-2422061-A,US-1619995-A
US-2422061-A,US-2001823-A
US-2422061-A,US-2046092-A
US-2422061-A,US-2081063-A
US-2422061-A,US-2085240-A
US-2422061-A,CH-197369-A
US-2422061-A,GB-528443-A
US-2422061-A,US-2229237-A
US-2422061-A,US-2249843-A
US-2422061-A,US-2271741-A
US-2422061-A,US-2325404-A
US-2422153-A,US-21572-A
US-2422153-A,US-1248226-A
US-2422153-A,US-1913244-A
US-2422153-A,US-1912448-A
US-2422153-A,US-2190776-A
US-2422475-A,US-286663-A
US-2422475-A,US-490588-A
US-2422475-A,US-1314154-A
US-2422475-A,US-1528188-A
US-2422475-A,US-1698807-A
US-2422475-A,DE-516740-C
US-2422475-A,US-2328549-A
US-2422475-A,US-2332510-A
US-2422648-A,US-2310943-A
US-2422648-A,US-2312298-A
US-2423501-A,GB-218596-A
US-2423501-A,US-1550622-A
US-2423501-A,GB-428539-A
US-2423501-A,FR-832835-A
US-2423501-A,US-2184057-A
US-2423501-A,GB-518130-A
US-2423501-A,GB-543609-A
US-2423501-A,US-2292671-A
US-2424880-A,US-763828-A
US-2424880-A,FR-626727-A
US-2424880-A,US-2198624-A
US-2424880-A,US-2199515-A
US-2424880-A,US-2382048-A
US-2426437-A,US-1063803-A
US-2426437-A,US-1541579-A
US-2426437-A,US-1565437-A
US-2426437-A,US-2017778-A
US-2426437-A,US-2099957-A
US-2427210-A,US-720703-A
US-2427210-A,US-1138737-A
US-2427210-A,DE-486637-C
US-2427210-A,FR-758125-A
US-2427210-A,US-2277672-A
US-2427528-A,US-1764368-A
US-2427528-A,US-1917379-A
US-2427528-A,US-2013363-A
US-2427528-A,US-2016469-A
US-2427708-A,US-500697-A
US-2427708-A,US-515443-A
US-2427708-A,GB-189513959-A
US-2427708-A,US-1124304-A
US-2427708-A,US-1303911-A
US-2427708-A,US-1694122-A
US-2427708-A,US-2086507-A
US-2427708-A,US-2154128-A
US-2427708-A,US-2176774-A
US-2428067-A,US-1771096-A
US-2428067-A,US-1921751-A
US-2428067-A,US-2127141-A
US-2428067-A,US-2383768-A
US-2428067-A,US-2411105-A
US-2430457-A,US-1169475-A
US-2430457-A,US-2114016-A
US-2433049-A,US-201449-A
US-2433049-A,US-223315-A
US-2433049-A,US-1049326-A
US-2433049-A,US-1195440-A
US-2433049-A,AU-1076027-A
US-2433720-A,US-1708222-A
US-2433720-A,US-1724675-A
US-2433720-A,US-2015633-A
US-2433720-A,US-2027721-A
US-2433720-A,US-2039036-A
US-2433720-A,US-2048114-A
US-2433720-A,US-2185524-A
US-2433720-A,US-2354157-A
US-2435971-A,US-249523-A
US-2435971-A,US-342895-A
US-2435971-A,US-455195-A
US-2435971-A,US-659778-A
US-2435971-A,US-969871-A
US-2435971-A,US-975966-A
US-2435971-A,US-1184496-A
US-2435971-A,US-1326423-A
US-2435971-A,FR-565043-A
US-2435971-A,US-1530566-A
US-2435971-A,US-1721161-A
US-2436956-A,US-713787-A
US-2436956-A,US-1641181-A
US-2436956-A,US-2222437-A
US-2437348-A,US-2205126-A
US-2437348-A,US-2238201-A
US-2437348-A,US-2269467-A
US-2437348-A,US-2297866-A
US-2437348-A,US-2309651-A
US-2437348-A,US-2309654-A
US-2437348-A,US-2317053-A
US-2437504-A,US-1861543-A
US-2437504-A,US-2409671-A
US-2437631-A,US-2215238-A
US-2437631-A,US-2335834-A
US-2440289-A,US-1931660-A
US-2440289-A,US-2054825-A
US-2440289-A,US-2063534-A
US-2440289-A,US-2128996-A
US-2440289-A,US-2225524-A
US-2440289-A,US-2226860-A
US-2440289-A,US-2289493-A
US-2440952-A,US-116408-A
US-2440952-A,US-478020-A
US-2440952-A,US-1153197-A
US-2440952-A,US-1168062-A
US-2440952-A,US-1347481-A
US-2440952-A,US-1703442-A
US-2440952-A,US-1809872-A
US-2440952-A,US-1922598-A
US-2440952-A,US-1991539-A
US-2440952-A,US-2099208-A
US-2440952-A,US-2150045-A
US-2440952-A,US-2275503-A
US-2440952-A,US-2339141-A
US-2441309-A,US-1006040-A
US-2441309-A,US-1006042-A
US-2441309-A,US-1167125-A
US-2441309-A,US-1373576-A
US-2441309-A,US-1691005-A
US-2441309-A,US-1782790-A
US-2441309-A,US-2014441-A
US-2441309-A,US-2202820-A
US-2441309-A,CH-216527-A
US-2441309-A,GB-551166-A
US-2441564-A,US-1640821-A
US-2441564-A,US-1853148-A
US-2441564-A,US-1888541-A
US-2441564-A,US-1965330-A
US-2441564-A,US-2013764-A
US-2441596-A,US-271909-A
US-2441596-A,GB-189804097-A
US-2442163-A,US-991578-A
US-2442163-A,US-1115426-A
US-2442163-A,US-1389351-A
US-2442163-A,US-1730003-A
US-2442163-A,US-1807885-A
US-2442163-A,US-2072676-A
US-2442163-A,US-2075639-A
US-2442163-A,US-2097178-A
US-2442163-A,US-2188636-A
US-2442163-A,GB-528688-A
US-2442163-A,US-2225853-A
US-2442163-A,US-2298929-A
US-2442163-A,US-2341716-A
US-2442163-A,US-2350270-A
US-2442374-A,GB-114911-A
US-2442374-A,US-36686-A
US-2442374-A,US-1275686-A
US-2442374-A,US-1289702-A
US-2442374-A,US-1322083-A
US-2442374-A,US-1447198-A
US-2442374-A,US-2139665-A
US-2442374-A,US-2330393-A
US-2442475-A,US-1283949-A
US-2442475-A,US-1423059-A
US-2442475-A,US-1520424-A
US-2442475-A,US-1530415-A
US-2442475-A,US-1671038-A
US-2442475-A,US-1776784-A
US-2442475-A,US-1787063-A
US-2442475-A,US-1901494-A
US-2442475-A,US-1914852-A
US-2442475-A,US-2011328-A
US-2442475-A,US-2080198-A
US-2442475-A,US-2153296-A
US-2442475-A,US-2247175-A
US-2442475-A,US-2964275-A
US-2443620-A,US-1313020-A
US-2443620-A,US-1515385-A
US-2443620-A,US-1603189-A
US-2443620-A,US-RE19390-E
US-2443620-A,US-2097591-A
US-2443620-A,US-2348066-A
US-2443620-A,US-2388298-A
US-2444584-A,US-1043238-A
US-2444584-A,GB-197158-A
US-2444584-A,US-1580788-A
US-2444584-A,US-1813670-A
US-2444584-A,US-1858656-A
US-2444584-A,FR-779845-A
US-2444584-A,US-2051060-A
US-2446209-A,US-957617-A
US-2446209-A,US-1090452-A
US-2446209-A,GB-218139-A
US-2446209-A,US-2154227-A
US-2446370-A,GB-191402431-A
US-2446370-A,US-1615498-A
US-2446370-A,US-2300091-A
US-2447328-A,US-2288150-A
US-2447328-A,US-2319390-A
US-2447600-A,US-2102611-A
US-2447600-A,US-2123504-A
US-2447600-A,US-2322696-A
US-2450698-A,US-730523-A
US-2450698-A,US-781805-A
US-2450698-A,US-1470428-A
US-2450698-A,FR-628774-A
US-2450698-A,US-1884021-A
US-2450976-A,US-1335494-A
US-2450976-A,US-1906680-A
US-2450976-A,US-2040532-A
US-2451301-A,US-484790-A
US-2451301-A,US-518625-A
US-2451301-A,US-758763-A
US-2451301-A,US-2113115-A
US-2451301-A,US-2370920-A
US-2452588-A,US-493268-A
US-2452588-A,US-1485835-A
US-2452588-A,DE-540805-C
US-2452588-A,US-1882815-A
US-2452588-A,US-2243413-A
US-2452588-A,US-2393177-A
US-2453207-A,
US-2453751-A,US-2009368-A
US-2453751-A,US-2125969-A
US-2453751-A,US-2253501-A
US-2453751-A,US-2356414-A
US-2453751-A,US-2370058-A
US-2454300-A,US-669847-A
US-2454300-A,US-740019-A
US-2454300-A,US-854113-A
US-2454300-A,US-878058-A
US-2454300-A,US-1037897-A
US-2454300-A,US-1051728-A
US-2454300-A,FR-660620-A
US-2454300-A,US-1859213-A
US-2454300-A,US-2136228-A
US-2455660-A,US-203275-A
US-2455660-A,US-412138-A
US-2455660-A,US-630761-A
US-2455660-A,US-1276774-A
US-2455660-A,US-2334752-A
US-2455800-A,US-745153-A
US-2455800-A,US-1264682-A
US-2455800-A,US-2217271-A
US-2455877-A,US-1839303-A
US-2455877-A,US-1888962-A
US-2455877-A,US-2312503-A
US-2456042-A,US-2268490-A
US-2456042-A,US-2365768-A
US-2456042-A,US-2377566-A
US-2456042-A,US-2383898-A
US-2458219-A,US-207909-A
US-2458219-A,US-1325964-A
US-2458219-A,US-1499280-A
US-2458219-A,US-1799185-A
US-2458219-A,US-2054568-A
US-2458281-A,US-2273266-A
US-2458281-A,US-2318807-A
US-2458281-A,US-2322396-A
US-2458281-A,US-2351528-A
US-2458281-A,US-2367066-A
US-2458817-A,US-1580462-A
US-2458817-A,US-1604868-A
US-2459282-A,US-1764311-A
US-2459282-A,US-1806347-A
US-2459282-A,GB-363615-A
US-2459282-A,US-1922221-A
US-2459282-A,US-1960316-A
US-2459282-A,US-1976901-A
US-2459282-A,US-1978323-A
US-2459282-A,US-2134752-A
US-2459282-A,US-2248415-A
US-2459282-A,US-2264285-A
US-2459282-A,US-2280962-A
US-2459282-A,US-2296045-A
US-2459282-A,US-2305577-A
US-2459468-A,US-976129-A
US-2459468-A,US-1005555-A
US-2459468-A,US-1531041-A
US-2459468-A,US-1707303-A
US-2459468-A,US-1976600-A
US-2459468-A,US-2095368-A
US-2459468-A,US-2107374-A
US-2459468-A,US-2149371-A
US-2459468-A,US-2178339-A
US-2459468-A,US-2250837-A
US-2459468-A,US-2308144-A
US-2459468-A,US-2347607-A
US-2459468-A,US-2382661-A
US-2460032-A,US-980671-A
US-2460032-A,US-1347470-A
US-2460032-A,US-1984806-A
US-2460032-A,US-2021745-A
US-2460032-A,US-2269695-A
US-2460032-A,US-2277990-A
US-2460032-A,US-2344698-A
US-2460032-A,US-2358408-A
US-2460870-A,US-778688-A
US-2460870-A,US-851056-A
